#	字典配置表		
#	Key		Value
#	string		string
#	字典主键	策划备注	字典内容，可使用转义符
	CHANGE_SCENE_SUCCESS	切换场景成功	Successful handovescenario
	CHANGE_SCENE_FAILED	切换场景失败	Switching scenarifailed
	CHANGE_SCENE_PROGRESS	切换场景中，当前进度 {0:P1}	Ithe handovescenario, the currenschedule {0:P1}
	HP_HARM_FREE	MISS	MISS
	UI_TEXT_PLAYER_NAME	`PlayerName`	` PlayeName`
	UI_TEXT_MISSION_REQUEST	任务目标	Tasobjectives
	UI_TEXT_TIMER_NORMAL	{0:D2}'{1:D2}''	{0:D2}'{1:D2}''
	UI_TEXT_TIMER_ALERT	[ff0000]{0:D2}'{1:D2}''[-]	[ff0000] {0:D2}'{1:D2}' [-]
	UI_TEXT_INTEGER	 {0:#,##0}"	{0: 0, 0}
	UI_TEXT_BASEATTRIBUTE1	血量	Bloovolume
	UI_TEXT_BASEATTRIBUTE2	移动速度	Moving speed
	UI_TEXT_BASEATTRIBUTE3	攻击力	Aggressivity
	UI_TEXT_BASEATTRIBUTE4	法术攻击力	MagiAttack
	UI_TEXT_BASEATTRIBUTE5	物理防御力	Physical Defense
	UI_TEXT_BASEATTRIBUTE6	法术防御力	MagiDefense
	UI_TEXT_BASEATTRIBUTE7	冷却时间缩减	Cooling time reduction
	UI_TEXT_BASEATTRIBUTE8	怒气增加速度	Increase ianger
	UI_TEXT_BASEATTRIBUTE9	待战时间缩减	Reducewaiting time
	UI_TEXT_ATTACKPLUSATTRIBUTE1	暴击率	Critical chance
	UI_TEXT_ATTACKPLUSATTRIBUTE2	暴击伤害	Critical damage
	UI_TEXT_ATTACKPLUSATTRIBUTE3	物理反击	Physical counterattack
	UI_TEXT_ATTACKPLUSATTRIBUTE4	法术反击	Magicounterattack
	UI_TEXT_ATTACKPLUSATTRIBUTE5	物理穿透	Physical Penetration
	UI_TEXT_ATTACKPLUSATTRIBUTE6	法术穿透	Spell penetration
	UI_TEXT_ATTACKPLUSATTRIBUTE7	真实伤害	Real injury
	UI_TEXT_ATTACKPLUSATTRIBUTE8	普攻加成（废弃）	General attacbonus (abandonment)
	UI_TEXT_ATTACKPLUSATTRIBUTE9	攻击力加成	Attacbonus
	UI_TEXT_ATTACKPLUSATTRIBUTE10	法术攻击力加成	MagiAttacbonus
	UI_TEXT_ATTACKPLUSATTRIBUTE11	技能伤害加成（废弃）	Skill damage bonus (discarded)
	UI_TEXT_DEFENSEPLUSATTRIBUTE1	物理防御力加成	Physical Defense bonus
	UI_TEXT_DEFENSEPLUSATTRIBUTE2	法术防御力加	MagiDefense
	UI_TEXT_DEFENSEPLUSATTRIBUTE3	免爆率	Explosion-free rate
	UI_TEXT_DEFENSEPLUSATTRIBUTE4	物理吸血	Physical bloosuction
	UI_TEXT_DEFENSEPLUSATTRIBUTE5	法术吸血	Drainage bmagic
	UI_TEXT_DEFENSEPLUSATTRIBUTE6	待战回血	Returof blootbattle
	UI_TEXT_DEFENSEPLUSATTRIBUTE7	血量加成	Bloovolume addition
